,SUM,T1,T500
2005,1.7 Pflop/s,136.8 Tflop/s,1.2 Tflop/s
2006,2.8 Pflop/s,280.6 Tflop/s,2.0 Tflop/s
2007,5.0 Pflop/s,280.6 Tflop/s,4.0 Tflop/s
2008,12.2 Pflop/s,1.0 Pflop/s,9.0 Tflop/s
2009,22.6 Pflop/s,1.1 Pflop/s,17.1 Tflop/s
2010,32.4 Pflop/s,1.8 Pflop/s,24.7 Tflop/s
2011,58.9 Pflop/s,8.2 Pflop/s,40.2 Tflop/s
2012,123.4 Pflop/s,16.3 Pflop/s,60.8 Tflop/s
2013,223.7 Pflop/s,33.9 Pflop/s,96.6 Tflop/s
2014,273.8 Pflop/s,33.9 Pflop/s,133.7 Tflop/s
2015,359.3 Pflop/s,33.9 Pflop/s,164.6 Tflop/s
2016,567.4 Pflop/s,93.0 Pflop/s,286.1 Tflop/s
2017,748.7 Pflop/s,93.0 Pflop/s,432.2 Tflop/s
2018,1.2 Eflop/s,122.3 Pflop/s,715.6 Tflop/s
2019,1.6 Eflop/s,148.6 Pflop/s,1.0 Pflop/s
